player_location,wumpus_nearby,bats_nearby,pits_nearby,arrows_left
6,0,1,0,3
5,1,0,0,2
4,0,1,0,2
5,1,0,0,2
4,0,1,0,0
5,1,0,0,0
4,0,1,0,0
5,1,0,0,0
4,0,1,0,0
3,1,0,0,0
4,0,1,0,0
3,1,0,0,0
4,0,1,0,0
5,1,0,0,0
6,0,1,0,0
7,0,0,0,0
8,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
8,0,0,0,0
9,0,0,0,0
8,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
9,0,0,0,0
10,0,0,0,0
9,0,0,0,0
8,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
8,0,0,0,0
9,0,0,0,0
8,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
8,0,0,0,0
9,0,0,0,0
8,0,0,0,0
7,0,0,0,0
6,0,1,0,0
5,1,0,0,0
6,0,1,0,0
5,1,0,0,0
6,0,1,0,0
